place_id	place_name	day	hour	movement
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	1	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	2	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	3	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	4	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	5	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	6	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	7	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	8	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	9	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	10	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	11	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	12	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	13	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	14	0.58
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	15	0.72
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	16	0.83
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	17	0.93
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	18	0.99
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	19	1.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	20	0.91
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	21	0.7
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	22	0.44
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	23	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	0	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	1	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	2	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	3	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	4	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	5	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	6	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	7	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	8	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	9	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	10	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	11	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	12	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	13	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	14	0.6
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	15	0.73
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	16	0.83
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	17	0.9
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	18	0.99
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	19	1.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	20	0.91
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	21	0.73
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	22	0.46
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Friday	23	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	0	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	1	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	2	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	3	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	4	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	5	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	6	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	7	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	8	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	9	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	10	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	11	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	12	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	13	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	14	0.59
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	15	0.72
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	16	0.82
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	17	0.89
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	18	0.96
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	19	1.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	20	0.94
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	21	0.74
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	22	0.48
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Saturday	23	0.0
